collection,module_code,module_name,has_skills,semester
BIOFELH,AQUU6MB,Changing Oceans,false,Spring
BIOFELH,BIOU5MB,Microbiology,true,Autumn
BIOFELH,BIOU6AC,The Animal Cell,true,Spring
BIOFELH,BIOU6BE,Behavioural Ecology,true,Spring
BIOFELH,BIOU9AP,Animal Physiology,true,Autumn
BIOFELH,BIOU9IN,Infectious Disease,false,Spring
BIOFELH,BIOU9PC,Population and Community Ecology,true,Autumn
BIOFELH,ENVU5EP,Environmental Policy in a Changing World,true,Autumn
BIOFELH,ENVU9BC,Biodiversity Conservation and Management,true,Spring
BIOFELH,ENVU9FC,International Field Course,true,Spring
BIOFELH,SCIU7SR,Statistics Using R,true,Autumn
BIOFSE7,BIOU9SX,Evolutionary Consequences of Sexual Reproduction,true,Autumn
BIOFSE7,ENVU7CP,Conservation Placement,true,Autumn
BIOFSE7,BIOU7CM,Biological Control Mechanisms,true,Autumn
BIOFSE7,BIOU7FC,Biology Field Course,true,Autumn
BIOFSE7,BIOU7SB,"Phylogenetics, Bioinformatics and Omics",true,Autumn
BIOFSE7,BIOU9PC,Population and Community Ecology,true,Autumn
BIOFSE7,ENVU9WM,Sustainable Water Management,true,Autumn
BIOFSE7,GEOU9SP,Geographical Information Systems,true,Autumn
BIOFSE7,SCIU7SR,Statistics Using R,true,Autumn
BIOFSE8,AQUU6MB,Changing Oceans,false,Spring
BIOFSE8,BIOU6AC,The Animal Cell,true,Spring
BIOFSE8,BIOU6BE,Behavioural Ecology,true,Spring
BIOFSE8,BIOU8FC,Biology Field Course,true,Spring
BIOFSE8,BIOU9IN,Infectious Disease,false,Spring
BIOFSE8,ENVU9BC,Biodiversity Conservation and Management,TRUE,Spring
BIOFEL2,BIOU5MB,Microbiology,TRUE,Autumn
BIOFEL2,BIOU9PC,Population and Community Ecology,TRUE,Autumn
BIOFEL2,ENVU5EP,Environmental Policy in a Changing World,TRUE,Autumn
BIOFEL2,SCIU7SR,Statistics Using R,TRUE,Autumn
BIOFEL5,AQUU6MB,Changing Oceans,FALSE,Spring
BIOFEL5,BIOU6PE,Plant Ecology,TRUE,Spring
BIOFEL5,BIOU9IN,Infectious Disease,FALSE,Spring
BIOFEL5,ENVU9BC,Biodiversity Conservation and Management,TRUE,Spring
BIOFEL5,ENVU9FC,International Field Course,TRUE,Spring
ABIFSE7,AQUU7MM,Marine Mammals Field Course,FALSE,Autumn
ABIFSE7,BIOU7CM,Biological Control Mechanisms,TRUE,Autumn
ABIFSE7,BIOU7FC,Biology Field Course,TRUE,Autumn
ABIFSE7,BIOU7SB,"Phylogenetics, Bioinformatics and Omics",TRUE,Autumn
ABIFSE7,BIOU9PC,Population and Community Ecology,TRUE,Autumn
ABIFSE7,BIOU9SX,Evolutionary Consequences of Sexual Reproduction,TRUE,Autumn
ABIFSE7,BIOU9TM,Molecular Techniques,TRUE,Autumn
ABIFSE7,ENVU7CP,Conservation Placement,TRUE,Autumn
ABIFSE7,ENVU9WM,Sustainable Water Management,TRUE,Autumn
ABIFSE7,GEOU9SP,Geographical Information Systems,TRUE,Autumn
ABIFSE7,SCIU7SR,Statistics Using R,TRUE,Autumn
ABIFSE8,AQUU6MB,Changing Oceans,FALSE,Spring
ABIFSE8,BIOU6PE,Plant Ecology,TRUE,Spring
ABIFSE8,BIOU8FC,Biology Field Course,TRUE,Spring
ABIFSE8,BIOU9IN,Infectious Disease,FALSE,Spring
ABIFSE8,ENVU9BC,Biodiversity Conservation and Management,TRUE,Spring
ENSFYR3,BIOU9PC,Population and Community Ecology,true,Autumn
ENSFYR3,ENVU5EP,Environmental Policy in a Changing World,true,Autumn
ENSFYR3,ENVU5S5,Living Soils,true,Autumn
ENSFYR3,ENVU9WM,Sustainable Water Management,true,Autumn
ENSFYR3,GEOU9GL,Glaciers and Landscape,true,Autumn
ENSFYR3,GEOU9IC,Scotland Field Course,true,Autumn
ENSFYR3,GEOU9SP,Geographical Information Systems,true,Autumn
ENSFYR3,SCIU7SR,Statistics Using R,true,Autumn
ENSFYR3,BIOU6PE,Plant Ecology,true,Spring
ENSFYR3,ENVU6EA,Methods and Applications in Environmental Sciences,true,Spring
ENSFYR3,ENVU6SP,Sustainable Landscapes,true,Spring
ENSFYR3,ENVU9EO,Earth Observation,true,Spring
ENSFYR3,ENVU9FC,International Field Course,true,Spring
ENSFYR3,GEOU9EH,Environmental Hazards,true,Spring
ENSFYR3,ENVU9BC,Biodiversity Conservation and Management,true,
ENSFYR4,BIOU9PC,Population and Community Ecology,true,Autumn
ENSFYR4,ENVU5EP,Environmental Policy in a Changing World,true,Autumn
ENSFYR4,ENVU5S5,Living Soils,true,Autumn
ENSFYR4,ENVU9WM,Sustainable Water Management,true,Autumn
ENSFYR4,GEOU9GL,Glaciers and Landscape,true,Autumn
ENSFYR4,GEOU9IC,Scotland Field Course,true,Autumn
ENSFYR4,GEOU9SP,Geographical Information Systems,true,Autumn
ENSFYR4,SCIU7SR,Statistics Using R,true,Autumn
ENSFYR4,BIOU6PE,Plant Ecology,true,Spring
ENSFYR4,ENVU6EA,Methods and Applications in Environmental Sciences,true,Spring
ENSFYR4,ENVU6SP,Sustainable Landscapes,true,Spring
ENSFYR4,ENVU9EO,Earth Observation,true,Spring
ENSFYR4,ENVU9FC,International Field Course,true,Spring
ENSFYR4,GEOU9EH,Environmental Hazards,true,Spring
ENSFYR4,ENVU9BC,Biodiversity Conservation and Management,true,
ENSFYR4,ENVU7CP,Conservation Placement,true,Autumn

ECOFSE1,AQUU1OP,Our Blue Planet,false,Autumn
ECOFSE1,ENVU1BP,Building Planet Earth,true,Autumn
ECOFSE1,UNIU9A1,"Wicked Problems, Sustainable Solutions",false,Autumn
ECOFSE2,AQUU2TP,Our Thirsty Planet: Man and the Aquatic Environment,false,Spring
ECOFSE2,ENVU2LV,Landscape Evolution,true,Spring
ECOFSE2,GEOU2PP,People and planet: global environmental challenges,false,Spring
ECOFSE3,ENVU4E4,The Biosphere,true,Spring
ECOFSE3,GEOU4ER,Environmental Resilience,true,Spring
EGEFYR3,BIOU6PE,Plant Ecology,true,Spring
EGEFYR3,ENVU5EP,Environmental Policy in a Changing World,true,Autumn
EGEFYR3,ENVU5S5,Living Soils,true,Autumn
EGEFYR3,ENVU6SP,Sustainable Landscapes,true,Spring
