"programme","module_code","competency","level"
"Biology — Biodiversity and Sustainability","BIOU1IE","Systems Thinking","0"
"Biology — Biodiversity and Sustainability","SCIU1FI","Systems Thinking","0"
"Biology — Biodiversity and Sustainability","BIOU2PH","Critical Thinking","2"
"Biology — Biodiversity and Sustainability","BIOU2CE","Adaptability","2"
"Biology — Biodiversity and Sustainability","BIOU2CE","Critical Thinking","2"
"Biology — Biodiversity and Sustainability","BIOU2CE","Innovation","1"
"Biology — Biodiversity and Sustainability","BIOU2CE","Integrated Problem Solving","2"
"Biology — Biodiversity and Sustainability","BIOU2CE","Self-Awareness","1"
"Biology — Biodiversity and Sustainability","BIOU2PH","Systems Thinking","1"
"Biology — Biodiversity and Sustainability","BIOU2CE","Systems Thinking","2"
"Biology — Biodiversity and Sustainability","BIOU3GE","Critical Thinking","2"
"Biology — Biodiversity and Sustainability","BIOU3GE","Integrated Problem Solving","2"
"Biology — Biodiversity and Sustainability","BIOU3GE","Self-Awareness","1"
"Biology — Biodiversity and Sustainability","SCIU3FB","Adaptability","1"
"Biology — Biodiversity and Sustainability","SCIU3FB","Critical Thinking","1"
"Biology — Biodiversity and Sustainability","SCIU3FB","Innovation","1"
"Biology — Biodiversity and Sustainability","SCIU3FB","Teamwork & Collaboration","1"
"Biology — Biodiversity and Sustainability","SCIU3LS","Adaptability","1"
"Biology — Biodiversity and Sustainability","SCIU3LS","Critical Thinking","1"
"Biology — Biodiversity and Sustainability","SCIU3LS","Integrated Problem Solving","1"
"Biology — Biodiversity and Sustainability","SCIU3LS","Self-Awareness","1"
"Biology — Biodiversity and Sustainability","SCIU3LS","Teamwork & Collaboration","1"
"Biology — Biodiversity and Sustainability","BIOU3GE","Systems Thinking","2"
"Biology — Biodiversity and Sustainability","SCIU3FB","Systems Thinking","1"
"Biology — Biodiversity and Sustainability","SCIU3LS","Systems Thinking","1"
"Biology — Biodiversity and Sustainability","SCIU4T4","Critical Thinking","2"
"Biology — Biodiversity and Sustainability","SCIU4T4","Innovation","1"
"Biology — Biodiversity and Sustainability","SCIU4T4","Self-Awareness","1"
"Biology — Biodiversity and Sustainability","BIOU4BD","Systems Thinking","0"
"Biology — Biodiversity and Sustainability","SCIU4T4","Systems Thinking","1"
"Biology — Biodiversity and Sustainability","BIOU9PC","Adaptability","2"
"Biology — Biodiversity and Sustainability","BIOU9PC","Critical Thinking","3"
"Biology — Biodiversity and Sustainability","BIOU9PC","Integrated Problem Solving","2"
"Biology — Biodiversity and Sustainability","BIOU9PC","Self-Awareness","1"
"Biology — Biodiversity and Sustainability","BIOU9PC","Teamwork & Collaboration","2"
