"module_code","module_name","has_skills"
"AQUU6MB","Changing Oceans","false"
"BIOU5MB","Microbiology","true"
"BIOU6AC","The Animal Cell","true"
"BIOU6BE","Behavioural Ecology","true"
"BIOU9AP","Animal Physiology","true"
"BIOU9IN","Infectious Disease","false"
"BIOU9PC","Population and Community Ecology","true"
"ENVU5EP","Environmental Policy in a Changing World","true"
"ENVU9BC","Biodiversity Conservation and Management","false"
"ENVU9FC","International Field Course","true"
"SCIU7SR","Statistics Using R","true"
