"module_code","module_name","has_skills"
"BIOU9SX","Evolutionary Consequences of Sexual Reproduction","true"
"ENVU7CP","Conservation Placement","true"
"BIOU7CM","Biological Control Mechanisms","true"
"BIOU7FC","Biology Field Course","true"
"BIOU7SB","Phylogenetics, Bioinformatics and Omics","true"
"BIOU9PC","Population and Community Ecology","true"
"BIOU9TM","Molecular Techniques","true"
"ENVU9WM","Sustainable Water Management","true"
"GEOU9SP","Geographical Information Systems","true"
"SCIU7SR","Statistics Using R","true"
