module_code,module_name,coordinator,year,semester,category,skill_name,level
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,AI (generative) Competency,0
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Computer Programming,0
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Data Management,3
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Effective Email Communication,0
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Geographical Information Systems (GIS),3
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Graphic Design,3
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Modelling,0
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Presentation Software,0
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Remote Meeting/Collaborative Software,0
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Remote Sensing (data collection and analysis),3
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Social Media,0
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Spreadsheet Creation and Management,3
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Statistical Programmes,0
ENVU9EO,Earth Observation,Verity Flower,3,6,computational,Word Processing,3
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Application of Remote Observations,1
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Conducting Transects,0
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Core Skills,3
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Drone Observations,1
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Environmental Impact Assessment,0
ENVU9EO,Earth Observation,Verity Flower,3,6,field,GPS Usage,0
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Health and Safety Competency,0
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Mapping Skills,3
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Sampling: In-situ Monitoring,0
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Sampling: Physical Collection,0
ENVU9EO,Earth Observation,Verity Flower,3,6,field,Species Monitoring,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Accurate Result Reporting,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Air Quality Analysis,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Chemical Handling,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Developing and Implementing SOPs,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Good Laboratory Practices (GLP),0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Maintaining Lab Notebooks,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Microscopy,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Operating Lab Equipment,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Physical Chemical Analysis,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Pipetting,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Risk Assessments,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Sample Preparation and Handling,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Soil Quality Assessment,0
ENVU9EO,Earth Observation,Verity Flower,3,6,lab,Water Quality Assessment,0
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Adaptability,3
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Verbal Communication,2
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Written Communication,3
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Conflict Resolution,2
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Critical Thinking,3
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Detail-Orientated Skills,3
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Innovation,2
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Integrated Problem-solving,3
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Interpersonal Skills,3
ENVU9EO,Earth Observation,Verity Flower,3,6,personal,Leadership,2
