"module_code","category","skill_name","level"
"ENVU9EO","computational","AI (generative) Competency","0"
"ENVU9EO","computational","Computer Programming","0"
"ENVU9EO","computational","Data Management","3"
"ENVU9EO","computational","Effective Email Communication","0"
"ENVU9EO","computational","Geographical Information Systems (GIS)","3"
"ENVU9EO","computational","Graphic Design","3"
"ENVU9EO","computational","Modelling","0"
"ENVU9EO","computational","Presentation Software","0"
"ENVU9EO","computational","Remote Meeting/Collaborative Software","0"
"ENVU9EO","computational","Remote Sensing (data collection and analysis)","3"
"ENVU9EO","computational","Social Media","0"
"ENVU9EO","computational","Spreadsheet Creation and Management","3"
"ENVU9EO","computational","Statistical Programmes","0"
"ENVU9EO","computational","Word Processing","3"
"ENVU9EO","field","Application of Remote Observations","1"
"ENVU9EO","field","Conducting Transects","0"
"ENVU9EO","field","Core Skills","3"
"ENVU9EO","field","Drone Observations","1"
"ENVU9EO","field","Environmental Impact Assessment","0"
"ENVU9EO","field","GPS Usage","0"
"ENVU9EO","field","Health and Safety Competency","0"
"ENVU9EO","field","Mapping Skills","3"
"ENVU9EO","field","Sampling: In-situ Monitoring","0"
"ENVU9EO","field","Sampling: Physical Collection","0"
"ENVU9EO","field","Species Monitoring","0"
"ENVU9EO","lab","Accurate Result Reporting","0"
"ENVU9EO","lab","Air Quality Analysis","0"
"ENVU9EO","lab","Chemical Handling","0"
"ENVU9EO","lab","Developing and Implementing SOPs","0"
"ENVU9EO","lab","Good Laboratory Practices (GLP)","0"
"ENVU9EO","lab","Maintaining Lab Notebooks","0"
"ENVU9EO","lab","Microscopy","0"
"ENVU9EO","lab","Operating Lab Equipment","0"
"ENVU9EO","lab","Physical Chemical Analysis","0"
"ENVU9EO","lab","Pipetting","0"
"ENVU9EO","lab","Risk Assessments","0"
"ENVU9EO","lab","Sample Preparation and Handling","0"
"ENVU9EO","lab","Soil Quality Assessment","0"
"ENVU9EO","lab","Water Quality Assessment","0"
"ENVU9EO","personal","Adaptability","3"
"ENVU9EO","personal","Verbal Communication","2"
"ENVU9EO","personal","Written Communication","3"
"ENVU9EO","personal","Conflict Resolution","2"
"ENVU9EO","personal","Critical Thinking","3"
"ENVU9EO","personal","Detail-Orientated Skills","3"
"ENVU9EO","personal","Innovation","2"
"ENVU9EO","personal","Integrated Problem-solving","3"
"ENVU9EO","personal","Interpersonal Skills","3"
"ENVU9EO","personal","Leadership","2"
"ENVU9EO","personal","Reliability","2"
"ENVU9EO","personal","Resourcefulness","2"
"ENVU9EO","personal","Self-awareness","0"
"ENVU9EO","personal","Self-motivation","2"
"ENVU9EO","personal","Teamwork & Collaboration","3"
"ENVU9EO","personal","Time Management","3"
"EPLPPG1","computational","AI (generative) Competency","0"
"EPLPPG1","computational","Computer Programming","1"
"EPLPPG1","computational","Data Management","3"
"EPLPPG1","computational","Effective Email Communication","0"
"EPLPPG1","computational","Geographical Information Systems (GIS)","3"
"EPLPPG1","computational","Graphic Design","3"
"EPLPPG1","computational","Modelling","1"
"EPLPPG1","computational","Presentation Software","0"
"EPLPPG1","computational","Remote Meeting/Collaborative Software","0"
"EPLPPG1","computational","Remote Sensing (data collection and analysis)","3"
"EPLPPG1","computational","Social Media","0"
"EPLPPG1","computational","Spreadsheet Creation and Management","2"
"EPLPPG1","computational","Statistical Programmes","0"
"EPLPPG1","computational","Word Processing","3"
"EPLPPG1","field","Application of Remote Observations","2"
"EPLPPG1","field","Conducting Transects","0"
"EPLPPG1","field","Core Skills","1"
"EPLPPG1","field","Drone Observations","2"
"EPLPPG1","field","Environmental Impact Assessment","0"
"EPLPPG1","field","GPS Usage","0"
"EPLPPG1","field","Health and Safety Competency","0"
"EPLPPG1","field","Mapping Skills","3"
"EPLPPG1","field","Sampling: In-situ Monitoring","0"
"EPLPPG1","field","Sampling: Physical Collection","0"
"EPLPPG1","field","Species Monitoring","0"
"EPLPPG1","lab","Accurate Result Reporting","0"
"EPLPPG1","lab","Air Quality Analysis","0"
"EPLPPG1","lab","Chemical Handling","0"
"EPLPPG1","lab","Developing and Implementing SOPs","0"
"EPLPPG1","lab","Good Laboratory Practices (GLP)","0"
"EPLPPG1","lab","Maintaining Lab Notebooks","0"
"EPLPPG1","lab","Microscopy","0"
"EPLPPG1","lab","Operating Lab Equipment","0"
"EPLPPG1","lab","Physical Chemical Analysis","0"
"EPLPPG1","lab","Pipetting","0"
"EPLPPG1","lab","Risk Assessments","0"
"EPLPPG1","lab","Sample Preparation and Handling","0"
"EPLPPG1","lab","Soil Quality Assessment","0"
"EPLPPG1","lab","Water Quality Assessment","0"
"EPLPPG1","personal","Adaptability","2"
"EPLPPG1","personal","Verbal Communication","2"
"EPLPPG1","personal","Written Communication","3"
"EPLPPG1","personal","Conflict Resolution","0"
"EPLPPG1","personal","Critical Thinking","3"
"EPLPPG1","personal","Detail-Orientated Skills","3"
"EPLPPG1","personal","Innovation","2"
"EPLPPG1","personal","Integrated Problem-solving","3"
"EPLPPG1","personal","Interpersonal Skills","0"
"EPLPPG1","personal","Leadership","0"
"EPLPPG1","personal","Reliability","2"
"EPLPPG1","personal","Resourcefulness","2"
"EPLPPG1","personal","Self-awareness","0"
"EPLPPG1","personal","Self-motivation","2"
"EPLPPG1","personal","Teamwork & Collaboration","0"
"EPLPPG1","personal","Time Management","2"
"ENVU4E4","computational","AI (generative) Competency","0"
"ENVU4E4","computational","Computer Programming","0"
"ENVU4E4","computational","Data Management","2"
"ENVU4E4","computational","Effective Email Communication","0"
"ENVU4E4","computational","Geographical Information Systems (GIS)","0"
"ENVU4E4","computational","Graphic Design","1"
"ENVU4E4","computational","Modelling","0"
"ENVU4E4","computational","Presentation Software","0"
"ENVU4E4","computational","Remote Meeting/Collaborative Software","0"
"ENVU4E4","computational","Remote Sensing (data collection and analysis)","0"
"ENVU4E4","computational","Social Media","0"
"ENVU4E4","computational","Spreadsheet Creation and Management","2"
"ENVU4E4","computational","Statistical Programmes","0"
"ENVU4E4","computational","Word Processing","2"
"ENVU4E4","field","Application of Remote Observations","0"
"ENVU4E4","field","Conducting Transects","0"
"ENVU4E4","field","Core Skills","1"
"ENVU4E4","field","Drone Observations","0"
"ENVU4E4","field","Environmental Impact Assessment","0"
"ENVU4E4","field","GPS Usage","0"
"ENVU4E4","field","Health and Safety Competency","0"
"ENVU4E4","field","Mapping Skills","0"
"ENVU4E4","field","Sampling: In-situ Monitoring","2"
"ENVU4E4","field","Sampling: Physical Collection","2"
"ENVU4E4","field","Species Monitoring","0"
"ENVU4E4","lab","Accurate Result Reporting","2"
"ENVU4E4","lab","Air Quality Analysis","0"
"ENVU4E4","lab","Chemical Handling","2"
"ENVU4E4","lab","Developing and Implementing SOPs","1"
"ENVU4E4","lab","Good Laboratory Practices (GLP)","2"
"ENVU4E4","lab","Maintaining Lab Notebooks","2"
"ENVU4E4","lab","Microscopy","0"
