"module_code","topic"
"ENVU9EO","Agriculture"
"ENVU9EO","Atmospheric Science"
"ENVU9EO","Climate Science"
"ENVU9EO","Forestry"
"ENVU9EO","Geography"
"ENVU9EO","Geospatial Science"
"ENVU9EO","Pollution"
"EPLPPG1","Agriculture"
"EPLPPG1","Atmospheric Science"
"EPLPPG1","Climate Science"
"EPLPPG1","Forestry"
"EPLPPG1","Geography"
"EPLPPG1","Geology"
"EPLPPG1","Geospatial Science"
"EPLPPG1","Pollution"
"ENVU4E4","Atmospheric Science"
"ENVU4E4","Biology"
"ENVU4E4","Ecology"
"ENVU4E4","Forestry"
"ENVU4E4","Geography"
"ENVU4E4","Hydrology"
"ENVU4E4","Resource Exploitation"
"ENVU4E4","Soil Science"
"ENVU4E4","Sustainability"
"BIOU6PE","Climate Science"
"BIOU6PE","Conservation"
"BIOU6PE","Ecology"
"ENVU9FC","Agriculture"
"ENVU9FC","Biology"
"ENVU9FC","Climate Science"
"ENVU9FC","Conservation"
"ENVU9FC","Ecology"
"ENVU9FC","Energy"
"ENVU9FC","Forestry"
"ENVU9FC","Geography"
"ENVU9FC","Geology"
"ENVU9FC","Hydrology"
"ENVU9FC","Pollution"
"ENVU9FC","Sustainability"
"ENVU9FC","Water Resources"
"BIOU6BE","Biology"
"BIOU6BE","Ecology"
"BIOU9AP","Biology"
"BIOU2PH","Biology"
"BIOU2PH","Chemistry"
"ENVU5S5","Agriculture"
"ENVU5S5","Biology"
"ENVU5S5","Chemistry"
"ENVU5S5","Climate Science"
"ENVU5S5","Conservation"
"ENVU5S5","Ecology"
"ENVU5S5","Soil Science"
"ENVU5S5","Sustainability"
"ENVU9WM","Agriculture"
"ENVU9WM","Geography"
"ENVU9WM","Hydrology"
"ENVU9WM","Pollution"
"ENVU9WM","Sustainability"
"ENVU9WM","Waste Management"
"ENVU9WM","Water Resources"
"GEOU2GE","Agriculture"
"GEOU2GE","Atmospheric Science"
"GEOU2GE","Climate Science"
"GEOU2GE","Geography"
"GEOU2GE","Pollution"
"GEOU2GE","Resource Exploitation"
"GEOU2GE","Sustainability"
"GEOU2GE","Waste Management"
"GEOU2GE","Water Resources"
"BIOU2CE","Biology"
"BIOU7CM","Biology"
"BIOU5MB","Biology"
"GEOU6GI","Agriculture"
"GEOU6GI","Energy"
"GEOU6GI","Geography"
"GEOU6GI","Pollution"
"GEOU6GI","Resource Exploitation"
"GEOU6GI","Sustainability"
"GEOU6GI","Waste Management"
"GEOU6GI","Water Resources"
"BIOU9CP","Aquaculture"
"BIOU9CP","Biology"
"GEOU4ER","Climate Science"
"GEOU4ER","Geography"
"GEOU4ER","Geospatial Science"
"GEOU4ER","Hydrology"
"BIOU7SB","Biology"
"BIOU7SB","Ecology"
"BIOU9PL","Agriculture"
"BIOU9PL","Aquaculture"
"BIOU9PL","Biology"
"BIOU9PL","Chemistry"
"BIOU9PL","Ecology"
"BIOU9PL","Energy"
"BIOU9PC","Biology"
"BIOU9PC","Conservation"
"BIOU9PC","Ecology"
"ENVU6SP","Agriculture"
"ENVU6SP","Conservation"
"ENVU6SP","Energy"
"ENVU6SP","Forestry"
"ENVU6SP","Geography"
"ENVU6SP","Geospatial Science"
"ENVU6SP","Sustainability"
"ENVU5EP","Agriculture"
"ENVU5EP","Atmospheric Science"
"ENVU5EP","Climate Science"
"ENVU5EP","Conservation"
"ENVU5EP","Ecology"
"ENVU5EP","Energy"
"ENVU5EP","Forestry"
"ENVU5EP","Geography"
"ENVU5EP","Pollution"
"ENVU5EP","Resource Exploitation"
"ENVU5EP","Sustainability"
"ENVU5EP","Waste Management"
"ENVU5EP","Water Resources"
"ENVU1BP","Atmospheric Science"
"ENVU1BP","Biology"
"ENVU1BP","Chemistry"
"ENVU1BP","Climate Science"
"ENVU1BP","Ecology"
"ENVU1BP","Energy"
"ENVU1BP","Geography"
"ENVU1BP","Geology"
"ENVU1BP","Resource Exploitation"
"SCIU3FS","Agriculture"
"SCIU3FS","Biology"
"SCIU3FS","Climate Science"
"SCIU3FS","Conservation"
"SCIU3FS","Ecology"
"SCIU3FS","Forestry"
"SCIU3FS","Geography"
"SCIU3FS","Geospatial Science"
"SCIU3FS","Pollution"
"SCIU3FS","Soil Science"
"SCIU3FS","Sustainability"
"SCIU3FS","Waste Management"
"SCIU3FS","Water Resources"
"EOEU2OE","Conservation"
"EOEU2OE","Ecology"
"EOEU2OE","Geography"
